t,qx,qy,px,py,H
1.383,0.8856363421730692,-1.1025644060200324,-1.167544695156152,-0.9378318468253531,10.442920475053144
1.3840000000000001,0.8844656675959233,-1.1035037303263175,-1.1738051036101658,-0.9408126914850243,10.44723049322651
1.385,0.8832887306838575,-1.1044460232383022,-1.1800693580126271,-0.9437690420593653,10.451555388300761
1.3860000000000001,0.882105527612005,-1.1053912602134806,-1.186337416069177,-0.9467008017825851,10.455895058715168
1.387,0.8809160545981815,-1.1063394166128104,-1.1926092347128023,-0.9496078743511285,10.460249402357872
1.3880000000000001,0.8797203079036552,-1.1072904677011803,-1.1988847701034402,-0.9524901639278122,10.46461831656648
1.389,0.8785182838339215,-1.1082443886478748,-1.2051639776276204,-0.9553475751459742,10.469001698128663
1.3900000000000001,0.8773099787394757,-1.1092011545270501,-1.2114468118981692,-0.9581800131136352,10.473399443282792
1.391,0.8760953890165882,-1.1101607403182088,-1.2177332267539396,-0.960987383417669,10.4778114477186
1.3920000000000001,0.8748745111080759,-1.1111231209066823,-1.2240231752596207,-0.9637695921279928,10.482237606577891
1.393,0.8736473415040802,-1.112088271084114,-1.2303166097055653,-0.9665265458017602,10.48667781445524
1.3940000000000001,0.8724138767428375,-1.1130561655489508,-1.236613481607694,-0.9692581514875763,10.491131965398779
1.395,0.871174113411457,-1.1140267789069356,-1.2429137417074259,-0.9719643167297137,10.495599952910965
1.3960000000000001,0.8699280481466926,-1.115000085671605,-1.2492173399716782,-0.9746449495723483,10.500081669949418
1.397,0.8686756776357194,-1.1159760602647908,-1.2555242255928942,-0.9772999585637968,10.504577008927756
1.3980000000000001,0.8674169986169064,-1.1169546770171286,-1.261834346989149,-0.9799292527607785,10.509085861716489
1.399,0.8661520078805928,-1.1179359101685649,-1.2681476518042718,-0.9825327417326707,10.513608119643928
1.4000000000000001,0.8648807022698598,-1.1189197338688752,-1.2744640869080524,-0.98511033556579,10.518143673497146
1.401,0.8636030786813066,-1.11990612217818,-1.280783598396468,-0.9876619448676699,10.522692413522941
1.4020000000000001,0.8623191340658225,-1.120895049067472,-1.287106131591983,-0.9901874807713592,10.52725422942887
1.403,0.8610288654293619,-1.1218864884191386,-1.2934316310438791,-0.9926868549397191,10.531829010384271
1.4040000000000001,0.8597322698337152,-1.1228804140274993,-1.2997600405286613,-0.99515997956974,10.536416645021369
1.405,0.8584293443972837,-1.1238767995993377,-1.306091303050482,-0.9976067673968558,10.541017021436367
1.4060000000000001,0.8571200862958492,-1.1248756187544453,-1.312425360841651,-1.0000271316992766,10.545630027190612
1.407,0.8558044927633486,-1.1258768450261636,-1.318762155363165,-1.0024209863023221,10.550255549311762
1.408,0.854482561092641,-1.1268804518619362,-1.3251016273053127,-1.0047882455827664,10.554893474295005
1.409,0.8531542886362822,-1.1278864126238597,-1.3314437165883122,-1.0071288244731882,10.559543688104311
1.41,0.851819672807292,-1.1288947005892436,-1.3377883623630105,-1.0094426384663289,10.564206076173713
